CynwV53geEGfnjkpr9,1608652803.559267,2,1,0,0,0,1,1,1,1,1,1,1,0
ClaaJn3r2gW813Qara,1608652814.267526,2,2,0,0,0,2,1,1,2,1,1,1,0
C6DCVt18y9uS4lP6ug,1608652845.151358,2,3,0,0,0,3,2,2,3,2,1,2,0
CMpj4D5eYqQHCR9zf,1608652846.160503,2,1,0,0,0,4,1,1,4,1,1,1,0
CMpj4D5eYqQHCR9zf,1608652846.160503,2,0,0,0,0,4,1,1,4,1,1,1,0
CMpj4D5eYqQHCR9zf,1608652846.160503,2,0,0,0,0,4,1,1,4,1,1,1,0
CMpj4D5eYqQHCR9zf,1608652846.160503,2,0,0,0,0,4,1,1,4,1,1,1,0
CMpj4D5eYqQHCR9zf,1608652846.160503,2,0,0,0,0,4,1,1,4,1,1,1,0
CMpj4D5eYqQHCR9zf,1608652846.160503,2,0,0,0,0,4,1,1,4,1,1,1,0
CMpj4D5eYqQHCR9zf,1608652846.160503,2,0,0,0,0,4,1,1,4,1,1,1,0
CMpj4D5eYqQHCR9zf,1608652846.160503,2,0,0,0,0,4,1,1,4,1,1,1,0
CMpj4D5eYqQHCR9zf,1608652846.160503,2,0,0,0,0,4,1,1,4,1,1,1,0
CMpj4D5eYqQHCR9zf,1608652846.160503,2,0,0,0,0,4,1,1,4,1,1,1,0
CMpj4D5eYqQHCR9zf,1608652846.160503,2,0,0,0,0,4,1,1,4,1,1,1,0
CMpj4D5eYqQHCR9zf,1608652846.160503,2,0,0,0,0,4,1,1,4,1,1,1,0
Cc4HV04YEzw39xWIFc,1608652856.010293,2,1,0,0,0,1,1,1,1,1,1,1,0
Cc4HV04YEzw39xWIFc,1608652856.010293,2,0,0,0,0,1,1,1,1,1,1,1,0
CMpj4D5eYqQHCR9zf,1608652846.160503,2,0,0,0,0,4,1,1,4,1,1,1,0
CMpj4D5eYqQHCR9zf,1608652846.160503,2,0,0,0,0,4,1,1,4,1,1,1,0
CMpj4D5eYqQHCR9zf,1608652846.160503,2,0,0,0,0,4,1,1,4,1,1,1,0
CMpj4D5eYqQHCR9zf,1608652846.160503,2,0,0,0,0,4,1,1,4,1,1,1,0
CyTeq43a3Ghe12XyCa,1608652925.078144,2,4,0,0,0,5,1,1,5,1,1,1,0
CxZB364MdgZaeRjloa,1608652934.542621,2,2,0,0,0,6,1,1,6,1,1,1,0
CxZB364MdgZaeRjloa,1608652934.542621,2,0,0,0,0,6,1,1,6,1,1,1,0
CxZB364MdgZaeRjloa,1608652934.542621,2,0,0,0,0,6,1,1,6,1,1,1,0
CxZB364MdgZaeRjloa,1608652934.542621,2,0,0,0,0,6,1,1,6,1,1,1,0
CxZB364MdgZaeRjloa,1608652934.542621,2,0,0,0,0,6,1,1,6,1,1,1,0
CxZB364MdgZaeRjloa,1608652934.542621,2,0,0,0,0,6,1,1,6,1,1,1,0
CsI9qt2Lj1zE3p11y,1608652945.177359,2,5,0,0,0,7,2,2,7,1,1,2,0
CxZB364MdgZaeRjloa,1608652934.542621,2,0,0,0,0,7,1,1,7,1,1,1,0
CxZB364MdgZaeRjloa,1608652934.542621,2,0,0,0,0,7,1,1,7,1,1,1,0
CHKBQo1iY4aFpff58,1608652949.561533,2,6,0,0,0,1,8,8,1,1,1,1,0
COmH1uQ50JGmBC425,1608652949.566396,2,7,0,0,0,3,9,9,3,1,1,1,0
COtQnB1XKgclOCsurf,1608652949.571834,2,8,0,0,0,3,10,10,3,1,1,1,0
CTCDbh414nsb8Ecc5l,1608652950.574498,2,9,0,0,0,2,11,11,2,1,1,1,0
CvJHfE3V50ABDMqAz6,1608652955.799273,2,3,0,0,0,12,2,2,12,2,1,2,0
CvJHfE3V50ABDMqAz6,1608652955.799273,2,0,0,0,0,12,2,2,12,2,1,2,0
CMpj4D5eYqQHCR9zf,1608652846.160503,2,0,0,0,0,12,1,1,12,1,1,1,0
CMpj4D5eYqQHCR9zf,1608652846.160503,2,0,0,0,0,12,1,1,12,1,1,1,0
CMpj4D5eYqQHCR9zf,1608652846.160503,2,0,0,0,0,12,1,1,12,1,1,1,0
CMpj4D5eYqQHCR9zf,1608652846.160503,2,0,0,0,0,12,1,1,12,1,1,1,0
CvJHfE3V50ABDMqAz6,1608652955.799273,2,0,0,0,0,12,2,2,12,2,1,2,0
CvJHfE3V50ABDMqAz6,1608652955.799273,2,0,0,0,0,12,2,2,12,2,1,2,0
CvJHfE3V50ABDMqAz6,1608652955.799273,2,0,0,0,0,12,2,2,12,2,1,2,0
CvJHfE3V50ABDMqAz6,1608652955.799273,2,0,0,0,0,12,2,2,12,2,1,2,0
CvJHfE3V50ABDMqAz6,1608652955.799273,2,0,0,0,0,12,2,2,12,2,1,2,0
CvJHfE3V50ABDMqAz6,1608652955.799273,2,0,0,0,0,12,2,2,12,2,1,2,0
CDDL7N1zBKvqUoezc9,1608652970.813837,2,10,0,0,0,2,13,13,2,1,2,2,0
C8z5GW3XX7Aq54h646,1608652970.815225,2,11,0,0,0,3,14,14,3,1,2,2,0
CvM2E72mEex04PJZj4,1608652970.815252,2,12,0,0,0,4,15,15,4,1,2,2,0
CMhv8g3Bo42H97gRJe,1608652970.820546,2,13,0,0,0,4,16,16,4,1,1,2,0
CvlOs6sJei1TH6B06,1608652975.145872,2,4,0,0,0,2,2,2,2,2,2,2,0
CvlOs6sJei1TH6B06,1608652975.145872,2,0,0,0,0,2,2,2,2,2,2,2,0
CV0m803GvUigpZQuug,1608652975.830517,2,5,0,0,0,17,3,3,17,3,1,3,0
